User ID,Rating,Latitude,Longitude
310,4,20.30437691,85.85093519
311,1,18.5719562,73.7767971
312,1,18.5719562,73.7767971
313,2,18.5719562,73.7767971
314,1,18.5700838,73.7733694
315,3,18.4662084,73.8805293
316,4,18.4662819,73.8805453
317,3,18.4662227,73.8803407
318,3,18.4653065,73.8801139
319,3,22.58046609,88.46641166
320,3,18.4653065,73.8801139
321,3,18.4663066,73.8806107
322,4,18.4663066,73.8806107
323,4,18.4663066,73.8806107
324,3,17.3691675,78.5161236
325,4,-1,-1
326,3,17.3691675,78.5161236
327,4,17.51295973,78.47576431
328,5,28.5332519,77.2167458
329,4,19.12907059,72.92948486
330,1,28.75030242,77.1381715
331,1,-1,-1
332,4,19.1293265,72.9298777
333,2,-1,-1
334,5,26.924888333,75.745023333
335,5,26.943141667,75.759931667
336,5,26.941921667,75.760366667
337,5,26.941921667,75.760366667
338,5,26.955835,75.738831667
339,5,26.955835,75.738831667
340,5,26.955835,75.738831667
341,5,26.955835,75.738831667
342,5,26.955835,75.738831667
343,5,26.956246667,75.73865
344,5,-1,-1
345,5,30.16532734,74.98066861
346,3,-1,-1
347,5,30.16532734,74.98066861
348,2,-1,-1
349,3,22.6841315,72.8594123
350,5,30.16532734,74.98066861
351,4,22.85609488,88.36933353
352,3,-1,-1
353,3,22.3168727,88.226824885
354,2,21.920000076,82.779998779
355,3,17.5014243,78.3924697
356,3,20.609798707,72.920240221
357,5,27.16196146,75.71130529
358,1,-1,-1
359,1,23.5542149,72.6201293
360,3,22.2871531,87.9180048
361,1,-1,-1
362,5,18.5451816,73.9233065
363,3,12.22143969,79.05555174
364,1,23.55416866,72.620049769
365,5,26.191149052,81.007856216
366,4,19.0293497,72.8617022
367,4,22.86649872,88.35384128
368,5,23.12199046,78.68854762
369,4,-1,-1
370,5,19.07067309,72.99743271
371,1,28.5893598,76.9961671
372,1,23.55416866,72.620049769
373,1,28.61187161,77.42184819
374,1,28.6222724,77.3671374
375,4,-1,-1
376,3,17.5014243,78.3924697
377,1,28.6393919,77.1311131
378,3,17.5014243,78.3924697
379,3,13.06244541,80.263374746
380,3,13.06244541,80.263374746
381,3,17.3691675,78.5161236
382,4,9.41841304,77.49716919
383,3,9.41788915,77.49839678
384,3,9.41786303,77.49837842
385,3,9.41787291,77.49840367
386,4,9.41790738,77.49838824
387,4,9.41871311,77.49692182
388,1,9.41871311,77.49692182
389,1,9.41871311,77.49692182
390,1,9.41871311,77.49692182
391,1,9.41871311,77.49692182
392,1,9.41871311,77.49692182
393,1,9.41871311,77.49692182
394,1,9.41871311,77.49692182
395,3,9.41871311,77.49692182
